variant,n_training_seeds,outside_range_fraction_mean,outside_range_fraction_std,lower_violation_fraction_mean,lower_violation_fraction_std,upper_violation_fraction_mean,upper_violation_fraction_std,mean_violation_per_node_value_mean,mean_violation_per_node_value_std,cumulative_action_mean,cumulative_action_std,mean_reward_mean,mean_reward_std
ekf_random,5,0.18621875,0.10333967475711471,0.18508125,0.10376650047627968,0.0011375,0.0013192904698170148,0.027868229908112208,0.015864006096068674,503.1100534237921,352.155352161695,-0.8968144577016298,0.5042760120584987
ekf_centrality,5,0.40339375000000005,0.2930186462510214,0.39026875,0.3108837034178235,0.013125000000000001,0.029348392204684742,0.05400596072884567,0.049597789576594345,470.08837534403426,427.2527826782725,-1.7328916285415183,1.5839238683922499
oracle,5,0.11766874999999999,0.02880903076999033,0.10647500000000001,0.04453591751854619,0.011193749999999999,0.015843694526530103,0.016323301069595984,0.0035173576857755423,501.71948991026727,353.7768758722609,-0.5273628290293709,0.10918337682513005
