variant,training_seed,validation_seed,evaluation_seed,selected_training_timesteps,evaluation_steps,mean_action,std_action,min_action,max_action,cumulative_action,mean_reward,cumulative_reward,lower_violation_fraction,upper_violation_fraction,outside_range_fraction,temporal_lower_fraction,temporal_upper_fraction,temporal_any_fraction,cumulative_lower_violation,cumulative_upper_violation,cumulative_total_violation,mean_violation_per_node_value,minimum_node_chlorine,maximum_node_chlorine
ekf_random,0,100,200,20000,1000,0.5032545430827886,0.6087551920778419,0.0,2.34720778465271,503.2545430827886,-0.6350628973394632,-635.0628973394632,0.3600909090909091,0.0016363636363636363,0.36172727272727273,1.0,0.009,1.0,627.6531467631561,2.3772050797435598,630.0303518428997,0.0572754865311727,0.0,2.34720778465271
ekf_random,1,100,200,14000,1000,1.3473390943994745,0.5897608980288822,0.0,2.4099044799804688,1347.3390943994746,-0.5818020099848509,-581.8020099848509,0.3608181818181818,0.005636363636363636,0.3664545454545455,1.0,0.031,1.0,557.5965021673949,10.732116222381595,568.3286183897765,0.05166623803543422,0.0,2.4001302719116215
ekf_random,2,100,200,20000,1000,0.09401845224760473,0.271450331295602,0.0,1.7615935802459717,94.01845224760473,-2.0336998911201953,-2033.6998911201954,0.8263636363636364,0.0,0.8263636363636364,1.0,0.0,1.0,2032.7597039695872,0.0,2032.7597039695872,0.18479633672450793,0.0,1.7615935802459717
ekf_centrality,0,100,200,18000,1000,0.5872773087378591,0.6258664111782996,0.0,2.701784372329712,587.2773087378591,-0.775049691207707,-775.0496912077069,0.4768181818181818,0.007181818181818182,0.484,1.0,0.049,1.0,757.3186509294044,11.85826616046469,769.1769170898691,0.06992517428089719,0.0,2.7017843723297124
ekf_centrality,1,100,200,20000,1000,0.38021511380374434,0.5492544031200449,0.0,2.5144846439361572,380.2151138037443,-0.9559475993812084,-955.9475993812084,0.5259090909090909,0.0061818181818181816,0.5320909090909091,1.0,0.035,1.0,939.9389230922151,12.206526303617913,952.145449395833,0.086558677217803,0.0,2.5144846439361572
ekf_centrality,2,100,200,12000,1000,0.1379972018636763,0.3117196708765115,0.0,1.2923803329467773,137.9972018636763,-1.102641172260046,-1102.641172260046,0.5673636363636364,0.0,0.5673636363636364,1.0,0.0,1.0,1101.2612002297994,0.0,1101.2612002297994,0.1001146545663454,0.0,1.2923803329467773
oracle,0,100,200,12000,1000,0.5818173329960555,0.6921937235379492,0.0,2.4356765747070312,581.8173329960555,-0.6575600739270449,-657.5600739270449,0.35954545454545456,0.010090909090909091,0.36963636363636365,1.0,0.055,1.0,630.9562856434669,20.78561480988164,651.7419004533485,0.05924926367757714,0.0,2.4356765747070312
oracle,1,100,200,10000,1000,0.24285252283141018,0.5149687594853476,0.0,2.149474620819092,242.85252283141017,-0.521432404667139,-521.432404667139,0.33454545454545453,0.004454545454545455,0.339,1.0,0.032,1.0,515.1700159494261,3.8338640596661175,519.0038800090922,0.04718217090991747,0.0,2.149474620819092
oracle,2,100,200,14000,1000,0.40089690409973266,0.673469997365102,0.0,2.2494351863861084,400.89690409973264,-0.6143354214280844,-614.3354214280844,0.3119090909090909,0.004909090909090909,0.31681818181818183,1.0,0.027,1.0,605.6130907749836,4.7133612632751465,610.3264520382587,0.05548422291256897,0.0,2.2494351863861084
