variant,n_training_seeds,evaluation_steps_mean,evaluation_steps_std,completed_episodes_mean,completed_episodes_std,mean_action_mean,mean_action_std,std_action_mean,std_action_std,min_action_mean,min_action_std,max_action_mean,max_action_std,cumulative_action_mean,cumulative_action_std,mean_reward_mean,mean_reward_std,cumulative_reward_mean,cumulative_reward_std,lower_violation_fraction_mean,lower_violation_fraction_std,upper_violation_fraction_mean,upper_violation_fraction_std,outside_range_fraction_mean,outside_range_fraction_std,temporal_lower_fraction_mean,temporal_lower_fraction_std,temporal_upper_fraction_mean,temporal_upper_fraction_std,temporal_any_fraction_mean,temporal_any_fraction_std,cumulative_lower_violation_mean,cumulative_lower_violation_std,cumulative_upper_violation_mean,cumulative_upper_violation_std,cumulative_total_violation_mean,cumulative_total_violation_std,mean_violation_per_node_value_mean,mean_violation_per_node_value_std,minimum_node_chlorine_mean,minimum_node_chlorine_std,maximum_node_chlorine_mean,maximum_node_chlorine_std,mean_completed_episode_reward_mean,mean_completed_episode_reward_std,mean_completed_episode_action_mean,mean_completed_episode_action_std,mean_completed_episode_length_mean,mean_completed_episode_length_std
ekf,1,1000.0,nan,0.0,nan,0.07603887680731714,nan,0.27159192038109875,nan,0.0,nan,2.533363103866577,nan,76.03887680731714,nan,-4.352868169857655,nan,-4352.868169857655,nan,0.65840625,nan,0.00096875,nan,0.659375,nan,0.755,nan,0.007,nan,0.762,nan,4338.728669407125,nan,13.379084619158984,nan,4352.107754026284,nan,0.13600336731332138,nan,0.0,nan,2.533363103866577,nan,nan,nan,nan,nan,nan,nan
oracle,1,1000.0,nan,0.0,nan,0.05119715392775834,nan,0.26960765507981344,nan,0.0,nan,2.556570529937744,nan,51.197153927758336,nan,-5.77261062576971,nan,-5772.61062576971,nan,0.71525,nan,0.02321875,nan,0.73846875,nan,0.841,nan,0.11,nan,0.9,nan,5530.70970603721,nan,241.38886572821448,nan,5772.098571765424,nan,0.1803780803676695,nan,0.0,nan,2.5565705299377464,nan,nan,nan,nan,nan,nan,nan
