variant,n_training_seeds,selected_training_timesteps_mean,selected_training_timesteps_std,evaluation_steps_mean,evaluation_steps_std,mean_action_mean,mean_action_std,std_action_mean,std_action_std,min_action_mean,min_action_std,max_action_mean,max_action_std,cumulative_action_mean,cumulative_action_std,mean_reward_mean,mean_reward_std,cumulative_reward_mean,cumulative_reward_std,lower_violation_fraction_mean,lower_violation_fraction_std,upper_violation_fraction_mean,upper_violation_fraction_std,outside_range_fraction_mean,outside_range_fraction_std,temporal_lower_fraction_mean,temporal_lower_fraction_std,temporal_upper_fraction_mean,temporal_upper_fraction_std,temporal_any_fraction_mean,temporal_any_fraction_std,cumulative_lower_violation_mean,cumulative_lower_violation_std,cumulative_upper_violation_mean,cumulative_upper_violation_std,cumulative_total_violation_mean,cumulative_total_violation_std,mean_violation_per_node_value_mean,mean_violation_per_node_value_std,minimum_node_chlorine_mean,minimum_node_chlorine_std,maximum_node_chlorine_mean,maximum_node_chlorine_std
ekf_centrality,5,11600.0,7536.577472566709,1000.0,0.0,0.24301635978482664,0.21013420409096917,0.18171940421869534,0.12241873952429135,0.0,0.0,1.1054608583450318,0.4119556190788374,243.01635978482665,210.13420409096915,-2.005755902744643,2.041224199086818,-2005.7559027446434,2041.2241990868176,0.40080625000000003,0.3551678887501216,0.0,0.0,0.40080625000000003,0.3551678887501216,0.6614,0.2251150816804596,0.0,0.0,0.6614,0.2251150816804596,2003.325740562626,2042.7753050431575,0.0,0.0,2003.325740562626,2042.7753050431575,0.06260392939258207,0.06383672828259868,0.0,0.0,1.105460858345032,0.4119556190788376
ekf_random,5,12000.0,4000.0,1000.0,0.0,0.4191068295786158,0.36603380038390804,0.2267335985562072,0.171551194797207,0.020183514058589935,0.045131709459829764,1.2663646578788756,0.9111670787642017,419.1068295786157,366.03380038390804,-2.737867813440668,3.9151814967838754,-2737.867813440668,3915.1814967838754,0.41325625000000005,0.39288835248646814,0.00046875,0.0010481568644530265,0.413725,0.3924354547346767,0.6902,0.41131277636368163,0.0046,0.010285912696499033,0.6918,0.41051455516217694,2730.8557216971903,3920.064121228825,2.8209473362327877,6.307830004763469,2733.6766690334234,3918.0207153741726,0.08542739590729448,0.12243814735544291,0.0,0.0,1.266364657878876,0.9111670787642019
oracle,5,13600.0,7668.115805072325,1000.0,0.0,1.0963658850636333,0.8019034259943245,0.20132328414773637,0.10210531802616084,0.44593902230262755,0.544656859111504,1.7138453722000122,0.9722777269139246,1096.3658850636334,801.9034259943246,-1.355323778158438,1.5787547896656722,-1355.323778158438,1578.7547896656722,0.10293750000000002,0.2214905229525916,0.18166875,0.2988675612050009,0.28460625000000006,0.3037906291950408,0.2004,0.38350071707886024,0.3224,0.4604381608859109,0.5214000000000001,0.44974915230603824,424.9842935254368,896.9210978837327,919.3758255329965,1619.0942876684562,1344.3601190584336,1574.8615585692905,0.04201125372057604,0.049214423705290326,1.5579974182572031e-06,3.483788135992278e-06,1.7138453722000122,0.9722777269139247
