network,n_sensors,seed,pred_min,pred_max,all_mae,all_median_ae,all_rmse,all_max_ae,all_negative_fraction,all_safe_classification_accuracy,all_false_safe_fraction,all_false_unsafe_fraction,all_false_safe_given_unsafe,all_false_unsafe_given_safe,nodes_mae,nodes_median_ae,nodes_rmse,nodes_max_ae,nodes_negative_fraction,nodes_safe_classification_accuracy,nodes_false_safe_fraction,nodes_false_unsafe_fraction,nodes_false_safe_given_unsafe,nodes_false_unsafe_given_safe,links_mae,links_median_ae,links_rmse,links_max_ae,links_negative_fraction,links_safe_classification_accuracy,links_false_safe_fraction,links_false_unsafe_fraction,links_false_safe_given_unsafe,links_false_unsafe_given_safe
cydbp,25,0,-4.983866711306204,12.309296741047156,0.6010796362726778,0.41316429308424607,0.8831549635293431,11.102448879295073,0.013909668652373239,0.7903752710901255,0.075289277184506,0.13433545172536854,0.10115957397759233,0.525286477202587,0.7042160795197304,0.4680892996614082,1.0616585594572616,11.102448879295073,0.01583325380920571,0.7704337245920412,0.08266930686770366,0.1468969685402551,0.11363934497912066,0.5390137146192004,0.5227953480249147,0.3789226130314638,0.7186505273633838,4.479559823548481,0.012449597991163049,0.8055116256609605,0.06968756790689813,0.12480080643214139,0.09205658150735177,0.5136004570747218
cydbp,25,1,-45.2534293819189,110.62325040038226,5.9004027112158735,3.626449992480239,9.847119292387843,109.26138602090239,0.3315312131111538,0.712918988662256,0.07584518351772038,0.21123582782002362,0.10190649638065379,0.8259869038993103,6.96451435412791,4.05462749519987,12.369054355756141,109.26138602090239,0.3287487673760219,0.7166833667334669,0.055197696981264116,0.22811893628526894,0.07587616694724415,0.8370440618616866,5.0927035123790265,3.3628515888557367,7.3782567765491205,33.984163472082976,0.3336431899944467,0.7100616896443489,0.09151737209358476,0.1984209382620663,0.12089353490894013,0.8165739268680445
cydbp,25,2,-15.907632978650161,17.532107685730395,0.6344758074866417,0.42049004931832323,1.07282074095279,19.661953238036077,0.013314299832541796,0.7838570977571582,0.08893986603343673,0.12720303620940512,0.11950066854165706,0.4973968816252046,0.779744235703777,0.492490617408503,1.4050876220086126,19.661953238036077,0.022461589846359386,0.7587397016254732,0.10208909883258581,0.13917119954194102,0.14033428802553619,0.5106653049314269,0.5242118198037556,0.37484594082534906,0.7252651094518879,4.30842922996187,0.006371176087113987,0.8029221092787986,0.07895912306540792,0.11811876765579352,0.10430421331292061,0.4861014507154213
cydbp,25,3,-13.291724347573403,12.118584240622653,0.6942117698166475,0.47989916198129257,1.068172711476302,17.013587234926728,0.01883904795893156,0.7292187113953935,0.1574862052872869,0.11329508331731956,0.21160035040804095,0.4430131766095054,0.8167451108515964,0.5381236709588493,1.3274651937561341,17.013587234926728,0.023288640773610713,0.7147469542259122,0.15729872443299298,0.12795432134109488,0.21622685235794398,0.46950685730960023,0.6012045350551801,0.4450930834061593,0.8182308825582617,4.772265368698897,0.015461646183934133,0.7402032981625902,0.15762851003211242,0.10216819180529735,0.2082256881319172,0.4204590620031797
cydbp,25,4,-8.188324879075376,9.699818615085825,0.5823050895234645,0.38730165643524916,0.8542113800999022,8.811430465181042,0.02223453756828726,0.7863895599418014,0.09729905015510473,0.11631138990309386,0.13073216838028492,0.45480771811179993,0.6650599827881152,0.44495918353347985,0.9773374310282412,8.811430465181042,0.01641377994083405,0.7635191016954544,0.10712297611095206,0.12935792219359354,0.14725398456459476,0.4746571345199883,0.5194911343948744,0.35162636244322587,0.7473324557259838,6.274428713636377,0.026652702996354156,0.803749064393848,0.08984233527295556,0.10640860033319652,0.11868082799094186,0.43790987678855325
cydbp,50,0,-3.8121459267084203,17.64724634037829,0.5287590037230715,0.34782127857621326,0.896114633091056,17.647243270074505,0.007988579899525077,0.8175529140472726,0.0643238531858237,0.11812323276690367,0.08642629904559915,0.4618924938947481,0.5878882834986513,0.3809251119849275,0.993844235422223,17.647243270074505,0.007169100104971848,0.8017741832872093,0.07152002417533479,0.12670579253745587,0.09831325564616629,0.46492559089582725,0.48387774317052296,0.3250912222103448,0.8141398643469269,11.13972382066656,0.008610594683342588,0.8295295410097303,0.05886169930221889,0.1116087596880508,0.07775571715625298,0.459310413354531
cydbp,50,1,-149.69857494310185,93.2238880470179,5.116480107072996,2.542992487420122,9.81693655692265,152.86847465866978,0.2801476240151536,0.7197923243747769,0.08582061383040053,0.1943870617948225,0.11530960394670109,0.7601038563722727,6.325763107077181,2.626445165208227,12.921514932115677,152.86847465866978,0.2819090562076534,0.7220989598244107,0.06812434392594713,0.20977669624964215,0.09364546666958176,0.7697402976364167,4.198590601045723,2.488143369496263,6.541358686903217,54.27977382309473,0.2788106333148224,0.7180415046961393,0.09925272231209407,0.18270577299176666,0.13111185532484929,0.7519003378378378
cydbp,50,2,-8.762444160880616,8.678041917042844,0.47443602944996305,0.312956709909758,0.716839766866779,11.739257537603319,0.012966000494138962,0.8273670628929091,0.06647884810717325,0.10615408899991764,0.08932177601549172,0.4150900356922416,0.5370490936616787,0.35028030739771887,0.8305390170929802,11.739257537603319,0.015137417692527914,0.8100765022107708,0.07544056366701657,0.11448293412221268,0.10370252956995124,0.42007586810621533,0.4269104505904681,0.2880093602398245,0.6166989657068981,5.32777235955602,0.011317816355602773,0.8404912234106767,0.05967658207982229,0.09983219450950093,0.07883216917041432,0.4108455882352941
cydbp,50,3,-10.998689896194785,8.371689227677749,0.49073091721475126,0.32100102785802,0.7551935223478499,14.207357901114705,0.0108298789359541,0.8230656518516485,0.06906449886073517,0.10786984928761632,0.09279588731615104,0.42179910366851836,0.5629811742602716,0.36553571462676204,0.9022765778563303,14.207357901114705,0.013785507522982472,0.8077543976842574,0.07120988007761554,0.12103572223812704,0.0978869236319115,0.44412022176831045,0.4358903606621277,0.2916694575031722,0.6207052824792638,3.675496794601197,0.008586450008450637,0.8346874471835237,0.06743607697322355,0.09787647584325276,0.08908238446081715,0.4027970985691574
cydbp,50,4,-13.179683249442778,7.6838753342581505,0.47611109745213825,0.30947643713794526,0.7499563308646451,15.72098449447732,0.018217942734784637,0.8341288741867297,0.05654974332226096,0.10932138249100942,0.07598091198303288,0.4274749751764485,0.5432806827055733,0.35003021542699564,0.8926728635756789,15.72098449447732,0.01218707255781404,0.8157425963037186,0.06357954003244584,0.12067786366383561,0.08739806292223266,0.4428071199299679,0.4251269544284466,0.28204669853282693,0.6200753134573963,5.652353427289235,0.022795591182364728,0.8480847236641958,0.05121387353019292,0.10070140280561123,0.06765301566038337,0.4144226947535771
