network,n_sensors,seed,pred_min,pred_max,all_mae,all_median_ae,all_rmse,all_max_ae,all_negative_fraction,all_safe_classification_accuracy,all_false_safe_fraction,all_false_unsafe_fraction,all_false_safe_given_unsafe,all_false_unsafe_given_safe,nodes_mae,nodes_median_ae,nodes_rmse,nodes_max_ae,nodes_negative_fraction,nodes_safe_classification_accuracy,nodes_false_safe_fraction,nodes_false_unsafe_fraction,nodes_false_safe_given_unsafe,nodes_false_unsafe_given_safe,links_mae,links_median_ae,links_rmse,links_max_ae,links_negative_fraction,links_safe_classification_accuracy,links_false_safe_fraction,links_false_unsafe_fraction,links_false_safe_given_unsafe,links_false_unsafe_given_safe
hanoi,3,0,-10.742948762458774,8.09340117456173,1.1577387158597459,0.7560171708435289,1.832942129951149,13.02033420173803,0.07048946377603692,0.7020708082832331,0.14746158984635938,0.15046760187040747,0.22138396316725167,0.4506228971537692,1.1658355900465571,0.7834981099970241,1.7746203791548092,12.418205213209411,0.07364729458917836,0.6785132765531062,0.16630135270541083,0.15518537074148298,0.2529288503667016,0.45309928688974216,1.1501181283898056,0.7308211546863129,1.8861865709283916,13.02033420173803,0.06751738771660969,0.7242426028527643,0.12973004833195803,0.14602734881527762,0.19242874628431544,0.44817293777134587
hanoi,3,1,-10.77684454170793,16.40981590358407,1.3237456430313417,0.8335094546832019,2.1598914807950607,14.967340298302007,0.061365154551527294,0.7088722900346147,0.11495718710147568,0.17617052286390963,0.17258513014541643,0.5275984359370738,1.4463470847395539,0.8750919715217372,2.367413205535501,14.841644537399347,0.06801102204408818,0.705379509018036,0.11272545090180361,0.18189504008016033,0.17144489951423944,0.5310842932894496,1.2083560508353777,0.7930850596596009,1.9444491934261245,14.967340298302007,0.05511022044088176,0.7121596133443358,0.11705764470116704,0.17078274195449722,0.17363175380311244,0.5241497829232996
hanoi,3,2,-9.325060670604472,14.101906480915847,1.2620294865712889,0.751256470566725,1.9561972827379588,12.980682336143698,0.11257363211271026,0.7148994959616202,0.1187830205866278,0.16631748345175199,0.17832885080001823,0.49809038828771485,1.2491533355206244,0.7644147627698303,1.892147516742252,12.68265201152573,0.10283066132264529,0.7090743987975952,0.11817384769539079,0.17275175350701402,0.179731402990761,0.5043883708173341,1.2741482169719143,0.7379423757228958,2.014620123218291,12.980682336143698,0.12174348697394789,0.7203819403512908,0.11935635977838029,0.1602616998703289,0.17704144081133066,0.4918596237337192
hanoi,3,3,-4.5803778577372025,13.150520282822827,1.147569985462204,0.7785369267113034,1.7104625544816316,11.993545322156088,0.04575818303273213,0.7109825712030121,0.14735531669399404,0.14166211210299387,0.2212244153712905,0.4242520687460216,1.249103673480424,0.8926724679097648,1.7919522754882675,10.483106749751528,0.04455786573146293,0.6895353206412825,0.15790956913827656,0.15255511022044088,0.24016573006953043,0.4454196379594076,1.0520088673274084,0.685466892418033,1.6300491446457366,11.993545322156088,0.04688789343392668,0.7311682187905222,0.13742190262878698,0.13140987858069078,0.20383808358104563,0.40331041968162085
hanoi,3,4,-5.884497440050565,12.929104190817052,0.9868066415105522,0.7385974733639208,1.3663894137830837,10.424109893406907,0.022560272059270057,0.7032853585959798,0.11325681666363029,0.18345782474038988,0.17003236541003783,0.5494225697917614,1.106562789392451,0.7903497518051752,1.5692516667650434,10.424109893406907,0.03995490981963928,0.6947019038076152,0.12371618236472946,0.18158191382765532,0.1881607772168778,0.5301700493691717,0.874094972915824,0.6985162398270477,1.143031271635721,5.4456802589705955,0.006188848284804904,0.7113639042791465,0.10341270776847813,0.18522338795237533,0.1533922014338171,0.5684696092619392
hanoi,5,0,-3.9302830319708315,12.924760377570253,0.8785608016851825,0.5739504068805712,1.3229746053472544,10.071378280651016,0.010703224631080343,0.7628438695572964,0.07419384222991438,0.1629622882127892,0.11138715412317089,0.4880421933254524,0.9620979934990916,0.6100047101267944,1.4904645808847388,10.071378280651016,0.01002004008016032,0.7547908316633266,0.08031688376753507,0.16489228456913826,0.12215449090389562,0.481440848418358,0.7999375623309152,0.5385546238241206,1.1431351353660524,6.7945797291294685,0.011346221855475657,0.7704231993398561,0.06843097960627137,0.16114582105387246,0.10150375939849623,0.49457308248914617
hanoi,5,1,-2.4505403652180977,8.366708696924377,0.7581987777047015,0.5342661130022791,1.0685701694930816,7.179422348759099,0.004023197910973462,0.7762646505131475,0.08289305884496265,0.14084229064188983,0.12444728084970598,0.4217968536873693,0.8208376148403861,0.5798310265763197,1.1503804333082652,7.055230567131722,0.003851452905811623,0.7629947394789579,0.08617234468937876,0.15083291583166333,0.13106010096199638,0.44039129639787894,0.6992445780475867,0.49303451700297396,0.9853870715698602,7.179422348759099,0.0041848402687728395,0.7887539785453259,0.07980667216786515,0.13143934928680892,0.11837733869557615,0.4034008683068017
hanoi,5,2,-4.579413142537043,8.215910442048683,0.780770503666453,0.5376006275279273,1.1269262790385213,7.811186721681354,0.028967024959008925,0.7687344385741179,0.09295864456185098,0.1383069168640311,0.139558736381456,0.4142038737837592,0.8143914415488791,0.5526521696323252,1.1798742495439056,7.811186721681354,0.03604083166332665,0.7586422845691383,0.10640030060120241,0.1349574148296593,0.16182493570816267,0.3940391296397879,0.7491272680124048,0.5258128133198021,1.074712594986988,7.51457384706983,0.022309324531415774,0.7782329364611577,0.08030767417187316,0.14145938936696922,0.1191204756076237,0.4341534008683068
hanoi,5,3,-2.945433487993008,6.764737245617947,0.8008583601618038,0.5696954982912624,1.1129570751885078,6.506857009934091,0.0291795712637396,0.7532337402076881,0.13182425456974556,0.11494200522256634,0.19790764461868077,0.34423024461216695,0.8738754155329383,0.6182524150145918,1.2196877025155268,6.506857009934091,0.04008016032064128,0.7416708416833667,0.13595941883767534,0.12236973947895792,0.20678159824745213,0.3572865240446151,0.7321364256948536,0.5314781083919055,1.002174530512042,5.190966944175891,0.018920193327832135,0.7641164682305788,0.1279323352587528,0.1079511965106684,0.18976219618814477,0.33131331403762665
hanoi,5,4,-8.259977014106063,10.814673502638765,0.886557749750207,0.6002389510655661,1.3274042789973368,9.831714242414339,0.019614987550859296,0.7606121333576243,0.08319669642314934,0.15619117021922632,0.1249031316953093,0.46776393561880514,0.9655413227662423,0.6309350904714803,1.4548737406491237,9.831714242414339,0.01618862725450902,0.7464303607214429,0.08842685370741483,0.1651427855711423,0.13448899895228117,0.4821722435545804,0.8122202692645267,0.5744741950295548,1.1950768702085908,9.811961438455079,0.022839797241541906,0.7739596840740304,0.07827419544972297,0.1477661204762466,0.11610421402343067,0.45350940665701883
hanoi,10,0,-2.374867561043641,6.425048280802725,0.5465518537003776,0.3642479160224672,0.7858779265420949,5.482852136793475,0.0062701159895548675,0.8107275156373352,0.09406692172223234,0.09520556264043238,0.1412225919679081,0.28512321542238794,0.5827238628170893,0.3823047279729267,0.8413524241214999,5.482852136793475,0.006669589178356713,0.8047657815631263,0.09919839679358718,0.09603582164328657,0.15087151157253073,0.2803986103492412,0.5125076098258254,0.34666281488911177,0.729824853439242,4.81686800687117,0.005894141223623718,0.8163385594718849,0.0892372981256631,0.09442414240245196,0.1323657982164714,0.2897973950795948
hanoi,10,1,-2.355794021918978,5.803825945610388,0.5241717084726039,0.36271036430742465,0.7405639689423347,5.203590005239825,0.0023987368676747435,0.8207323738385862,0.0790064978441732,0.10026112831724054,0.1186123900259835,0.3002637082840775,0.5677641585361312,0.3839127907819063,0.8082257841450753,5.203590005239825,0.002880761523046092,0.810683867735471,0.0845127755511022,0.10480335671342686,0.1285360510524812,0.30599744011702323,0.4831435201775195,0.3434528796445385,0.670675342193349,4.273892411284535,0.001945066603795827,0.8301897913474007,0.07382411882588708,0.09598608982671225,0.10950340968700822,0.29459117221418235
hanoi,10,2,-2.8984583558235752,8.56514740387281,0.6622002561998015,0.4337220208035061,0.9725415435483032,7.044850556778324,0.009245764255784297,0.8055201311714337,0.09254873383129897,0.10193113499726726,0.1389433377398915,0.3052650722924434,0.7049214502101536,0.46014200099988645,1.0335066971410867,7.044850556778324,0.012431112224448898,0.797062875751503,0.08992985971943888,0.11300726452905811,0.13677493094580437,0.329950630828305,0.621992073601823,0.4095689198302308,0.9114450482300973,6.786539546109427,0.006247789697041141,0.8134799009784275,0.09501355652481433,0.09150654249675823,0.14093372967301976,0.28084298118668594
