variant,training_seed,validation_seed,evaluation_seed,selected_training_timesteps,evaluation_steps,mean_action,std_action,min_action,max_action,cumulative_action,mean_reward,cumulative_reward,lower_violation_fraction,upper_violation_fraction,outside_range_fraction,temporal_lower_fraction,temporal_upper_fraction,temporal_any_fraction,cumulative_lower_violation,cumulative_upper_violation,cumulative_total_violation,mean_violation_per_node_value,minimum_node_chlorine,maximum_node_chlorine
ekf_random,0,100,200,512,20,0.008365170285105705,0.017265304321240085,0.0,0.058146823197603226,0.1673034057021141,-3.1633474707603453,-63.26694941520691,1.0,0.0,1.0,1.0,0.0,1.0,63.26527589539724,0.0,63.26527589539724,0.28756943588816924,0.0,0.058146823197603226
ekf_centrality,0,100,200,512,20,0.013235030695796013,0.027897439668583175,0.0,0.09161804616451263,0.26470061391592026,-3.091222608089447,-61.82445216178894,1.0,0.0,1.0,1.0,0.0,1.0,61.82180543312715,0.0,61.82180543312715,0.2810082065142143,0.0,0.09161804616451265
oracle,0,100,200,256,20,0.005163148557767272,0.0032982761820639283,0.0,0.009663742035627365,0.10326297115534544,-3.2771101117134096,-65.54220223426819,1.0,0.0,1.0,1.0,0.0,1.0,65.54116909439769,0.0,65.54116909439769,0.2979144049745349,2.726853845141051e-05,0.008818392641842365
