variant,n_training_seeds,selected_training_timesteps_mean,selected_training_timesteps_std,evaluation_steps_mean,evaluation_steps_std,mean_action_mean,mean_action_std,std_action_mean,std_action_std,min_action_mean,min_action_std,max_action_mean,max_action_std,cumulative_action_mean,cumulative_action_std,mean_reward_mean,mean_reward_std,cumulative_reward_mean,cumulative_reward_std,lower_violation_fraction_mean,lower_violation_fraction_std,upper_violation_fraction_mean,upper_violation_fraction_std,outside_range_fraction_mean,outside_range_fraction_std,temporal_lower_fraction_mean,temporal_lower_fraction_std,temporal_upper_fraction_mean,temporal_upper_fraction_std,temporal_any_fraction_mean,temporal_any_fraction_std,cumulative_lower_violation_mean,cumulative_lower_violation_std,cumulative_upper_violation_mean,cumulative_upper_violation_std,cumulative_total_violation_mean,cumulative_total_violation_std,mean_violation_per_node_value_mean,mean_violation_per_node_value_std,minimum_node_chlorine_mean,minimum_node_chlorine_std,maximum_node_chlorine_mean,maximum_node_chlorine_std
ekf_centrality,3,16666.666666666668,4163.331998932265,1000.0,0.0,0.36849654146842664,0.22486917821569685,0.49561349505828534,0.1637988213444388,0.0,0.0,2.1695497830708823,0.7654018423268546,368.4965414684266,224.86917821569685,-0.9445461542829872,0.1640930812900473,-944.5461542829871,164.0930812900473,0.5233636363636364,0.04532636472124118,0.004454545454545454,0.003890016890060849,0.5278181818181817,0.041845741906465006,1.0,0.0,0.028,0.025238858928247926,1.0,0.0,932.8395914171397,172.08114274227788,8.021597488027535,6.949089219226828,940.8611889051672,166.32947326994173,0.0855328353550152,0.015120861206358338,0.0,0.0,2.1695497830708823,0.7654018423268547
ekf_random,3,18000.0,3464.1016151377544,1000.0,0.0,0.648204029909956,0.6391094767796736,0.4899888071341087,0.1894980075567228,0.0,0.0,2.1729019482930503,0.35758026947864263,648.2040299099559,639.1094767796736,-1.083521599481503,0.8233093403797371,-1083.5215994815032,823.3093403797373,0.5157575757575757,0.26899298484406026,0.0024242424242424242,0.002899605748825621,0.5181818181818182,0.2669037496369205,1.0,0.0,0.013333333333333334,0.015947831618540912,1.0,0.0,1072.6697843000459,832.1997799514872,4.369773767375052,5.636694699367145,1077.0395580674212,828.2526932888436,0.09791268709703828,0.07529569938989487,0.0,0.0,2.1696438789367676,0.3543712489898882
oracle,3,12000.0,2000.0,1000.0,0.0,0.40852225330906605,0.16961101112667104,0.6268774934627995,0.09736692475258749,0.0,0.0,2.2781954606374106,0.14525238254010203,408.5222533090661,169.61101112667103,-0.5977759666740895,0.06955822913822478,-597.7759666740894,69.55822913822476,0.3353333333333333,0.023827953119440602,0.006484848484848485,0.0031311990855738673,0.34181818181818185,0.026521626914932577,1.0,0.0,0.038,0.014933184523068079,1.0,0.0,583.9131307892922,60.86691432913897,9.777613377607635,9.543345874613312,593.6907441668999,67.91469355118116,0.05397188583335452,0.006174063050107378,0.0,0.0,2.2781954606374106,0.14525238254010203
