variant,training_seed,node_index,outside_range_fraction,lower_violation_fraction,upper_violation_fraction,mean_violation
ekf_centrality,2,9,0.081,0.081,0.0,0.008446284822374577
ekf_centrality,2,10,0.543,0.543,0.0,0.02910961110960711
ekf_centrality,3,0,0.046,0.045,0.001,0.006687756109914148
ekf_centrality,3,1,0.384,0.384,0.0,0.035547550888538254
ekf_centrality,3,2,0.092,0.092,0.0,0.00777177597660718
ekf_centrality,3,3,0.918,0.918,0.0,0.07198336468600244
ekf_centrality,3,4,0.361,0.361,0.0,0.036731015739560634
ekf_centrality,3,5,0.491,0.491,0.0,0.038671930695174654
ekf_centrality,3,6,0.999,0.999,0.0,0.19581686679021484
ekf_centrality,3,7,0.656,0.656,0.0,0.08147760720156973
ekf_centrality,3,8,1.0,1.0,0.0,0.20918522385952948
ekf_centrality,3,9,0.036,0.035,0.001,0.00647014075145125
ekf_centrality,3,10,0.081,0.081,0.0,0.005977443220762875
ekf_centrality,4,0,0.229,0.039,0.19,0.04889782524792715
ekf_centrality,4,1,0.107,0.093,0.014,0.012384358748423974
ekf_centrality,4,2,0.039,0.038,0.001,0.007111422798495047
ekf_centrality,4,3,0.183,0.183,0.0,0.018915355498151168
ekf_centrality,4,4,0.247,0.246,0.001,0.02462927335716772
ekf_centrality,4,5,0.142,0.142,0.0,0.01910122573936147
ekf_centrality,4,6,0.952,0.952,0.0,0.1293582111812913
ekf_centrality,4,7,0.448,0.448,0.0,0.05251365021202854
ekf_centrality,4,8,0.975,0.975,0.0,0.15398210296944292
ekf_centrality,4,9,0.297,0.036,0.261,0.06815864150524142
ekf_centrality,4,10,0.037,0.037,0.0,0.007081163736394528
oracle,0,0,0.002,0.002,0.0,0.0002987114399671555
oracle,0,1,0.403,0.403,0.0,0.033116173272014
oracle,0,2,0.059,0.059,0.0,0.0075021443481683965
oracle,0,3,0.864,0.864,0.0,0.06192363854763107
oracle,0,4,0.417,0.417,0.0,0.04585817859009139
oracle,0,5,0.368,0.368,0.0,0.03206306582108836
oracle,0,6,0.999,0.999,0.0,0.19126424558039612
oracle,0,7,0.669,0.669,0.0,0.08931275992104153
oracle,0,8,1.0,1.0,0.0,0.207461708488249
oracle,0,9,0.002,0.002,0.0,0.00029871143996715543
oracle,0,10,0.057,0.057,0.0,0.007907857223588196
oracle,1,0,0.08,0.0,0.08,0.009610209284613792
oracle,1,1,0.032,0.024,0.008,0.003484949106498437
oracle,1,2,0.021,0.021,0.0,0.003909914368758109
oracle,1,3,0.132,0.132,0.0,0.01353055395763688
oracle,1,4,0.128,0.128,0.0,0.008106549323462563
oracle,1,5,0.119,0.119,0.0,0.013164320244688926
oracle,1,6,0.939,0.939,0.0,0.10798344987635072
oracle,1,7,0.31,0.31,0.0,0.026556784003216333
oracle,1,8,0.977,0.977,0.0,0.13369815025137924
oracle,1,9,0.135,0.0,0.135,0.01404396390914917
oracle,1,10,0.025,0.025,0.0,0.00439572666892725
oracle,2,0,0.131,0.027,0.104,0.02463367059241815
oracle,2,1,0.197,0.193,0.004,0.011703291329775007
oracle,2,2,0.043,0.043,0.0,0.005546207798650429
oracle,2,3,0.301,0.301,0.0,0.024301947694833213
oracle,2,4,0.312,0.312,0.0,0.028965413672095444
oracle,2,5,0.16,0.16,0.0,0.019440077995274235
oracle,2,6,0.966,0.966,0.0,0.14475674516075646
oracle,2,7,0.568,0.568,0.0,0.06743371283483986
oracle,2,8,0.99,0.99,0.0,0.17036442876257607
oracle,2,9,0.181,0.027,0.154,0.03547673809006811
oracle,2,10,0.03,0.03,0.0,0.004467418664340937
oracle,3,0,0.015,0.011,0.004,0.0033949567287420443
oracle,3,1,0.044,0.044,0.0,0.005495571082236138
oracle,3,2,0.022,0.022,0.0,0.00535054554349058
oracle,3,3,0.206,0.206,0.0,0.019337871234421225
oracle,3,4,0.191,0.191,0.0,0.016901916763104943
oracle,3,5,0.143,0.143,0.0,0.01838154400374856
oracle,3,6,0.977,0.977,0.0,0.13797231525327078
oracle,3,7,0.429,0.429,0.0,0.04598336531074346
oracle,3,8,0.994,0.994,0.0,0.16285941255354353
oracle,3,9,0.024,0.011,0.013,0.0037117174148559562
oracle,3,10,0.025,0.025,0.0,0.0057792038661578105
oracle,4,0,0.038,0.036,0.002,0.003266732319700994
oracle,4,1,0.305,0.305,0.0,0.013377850471657097
oracle,4,2,0.03,0.03,0.0,0.005294422965084104
oracle,4,3,0.386,0.386,0.0,0.030964208387819166
oracle,4,4,0.248,0.248,0.0,0.023338973523861915
oracle,4,5,0.182,0.182,0.0,0.022797811425392035
oracle,4,6,0.997,0.997,0.0,0.16715713083588815
oracle,4,7,0.519,0.519,0.0,0.057339844663624934
oracle,4,8,0.998,0.998,0.0,0.18489791399065358
oracle,4,9,0.027,0.025,0.002,0.0027917255237698544
oracle,4,10,0.025,0.025,0.0,0.0049433264703268006
