variant,training_seed,validation_seed,evaluation_seed,selected_training_timesteps,outside_range_fraction,lower_violation_fraction,upper_violation_fraction,mean_violation_per_node_value,cumulative_action,mean_reward
ekf_random,0,100,200,5000,0.892702380952381,0.892702380952381,0.0,0.13087015140250385,91.09068761521485,-32.98018905878067
ekf_random,1,100,200,5000,0.08812698412698412,0.08812698412698412,0.0,0.01863435511889432,4.156145547516644,-4.695899002671242
ekf_random,2,100,200,2000,0.9993293650793651,0.9993293650793651,0.0,0.2796908176542996,0.49824848771095276,-70.48209096908569
ekf_random,3,100,200,5000,0.07174603174603175,0.07174603174603175,0.0,0.013263620234147323,828.925096471794,-3.350721553325653
ekf_random,4,100,200,2000,0.9998650793650794,0.9998650793650794,0.0,0.24806283632505116,10.664429483236745,-62.511941360473635
ekf_centrality,0,100,200,4000,0.032412698412698414,0.032412698412698414,0.0,0.009253395175391132,987.6726544424891,-2.341732312679291
ekf_centrality,1,100,200,4000,0.03283730158730159,0.03283730158730159,0.0,0.009257403685435256,948.3417369127274,-2.342349149942398
ekf_centrality,2,100,200,6000,0.1088968253968254,0.1088968253968254,0.0,0.016474836637960667,587.3500155649381,-4.157532341003418
ekf_centrality,3,100,200,8000,0.26842460317460315,0.26842460317460315,0.0,0.03704973544135392,77.95300689339638,-9.337312849760055
ekf_centrality,4,100,200,8000,0.17571031746031746,0.08778174603174603,0.08792857142857143,0.035464127136558,1116.1549687911756,-8.948121598124503
oracle,0,100,200,14000,1.0,1.0,0.0,0.246677825866096,1.8094714586623013,-62.16283012771606
oracle,1,100,200,10000,0.12067063492063491,0.12067063492063491,0.0,0.0180931825676894,242.28531231638044,-4.561904862880707
oracle,2,100,200,20000,0.14799206349206348,0.056634920634920635,0.09135714285714286,0.04260096105214309,1228.7799394968897,-10.74772998893261
oracle,3,100,200,16000,0.06526190476190476,0.04097619047619048,0.024285714285714285,0.014913464183408226,1195.2822649767622,-3.770145805120468
oracle,4,100,200,20000,0.14290873015873015,0.09995238095238096,0.042956349206349206,0.032177427033108774,796.8234761245549,-8.116679837465286
