variant,n_training_seeds,outside_range_fraction_mean,outside_range_fraction_std,lower_violation_fraction_mean,lower_violation_fraction_std,upper_violation_fraction_mean,upper_violation_fraction_std,mean_violation_per_node_value_mean,mean_violation_per_node_value_std,cumulative_action_mean,cumulative_action_std,mean_reward_mean,mean_reward_std
ekf_random,5,0.5835818181818182,0.29963200294708614,0.5791818181818182,0.30323055353153533,0.004399999999999999,0.007347513212864821,0.11560529244449998,0.09431629367811939,271.84722107099367,283.8201789150292,-1.2743766901448368,1.0353583720169766
ekf_centrality,5,0.5364000000000001,0.28548148830579057,0.5233272727272726,0.2987365308696495,0.013072727272727272,0.019134193355663073,0.09205636051463376,0.0755234102950408,403.1643286606297,269.7615688576807,-1.0166516087913886,0.8286517776487131
oracle,5,0.3353090909090909,0.07003684390470656,0.3261090909090909,0.0748925511307769,0.0092,0.011806882710472014,0.04534399597444735,0.0115572829229919,397.2568694593385,251.6136308012621,-0.5027565242294222,0.1258386326948317
