variant,n_training_seeds,selected_training_timesteps_mean,selected_training_timesteps_std,evaluation_steps_mean,evaluation_steps_std,mean_action_mean,mean_action_std,std_action_mean,std_action_std,min_action_mean,min_action_std,max_action_mean,max_action_std,cumulative_action_mean,cumulative_action_std,mean_reward_mean,mean_reward_std,cumulative_reward_mean,cumulative_reward_std,lower_violation_fraction_mean,lower_violation_fraction_std,upper_violation_fraction_mean,upper_violation_fraction_std,outside_range_fraction_mean,outside_range_fraction_std,temporal_lower_fraction_mean,temporal_lower_fraction_std,temporal_upper_fraction_mean,temporal_upper_fraction_std,temporal_any_fraction_mean,temporal_any_fraction_std,cumulative_lower_violation_mean,cumulative_lower_violation_std,cumulative_upper_violation_mean,cumulative_upper_violation_std,cumulative_total_violation_mean,cumulative_total_violation_std,mean_violation_per_node_value_mean,mean_violation_per_node_value_std,minimum_node_chlorine_mean,minimum_node_chlorine_std,maximum_node_chlorine_mean,maximum_node_chlorine_std
ekf_centrality,1,4000.0,nan,1000.0,nan,0.11840203277068212,nan,0.20297993708710535,nan,0.0,nan,0.8808763027191162,nan,118.40203277068213,nan,-1.5608417856693269,nan,-1560.8417856693268,nan,0.766090909090909,nan,0.0,nan,0.766090909090909,nan,1.0,nan,0.0,nan,1.0,nan,1559.657765856651,nan,0.0,nan,1559.657765856651,nan,0.1417870696233319,nan,0.0,nan,0.8808763027191162,nan
ekf_random,1,1000.0,nan,1000.0,nan,0.04779224386392161,nan,0.039099414436350885,nan,0.0,nan,0.15620961785316467,nan,47.79224386392161,nan,-2.8666082611083983,nan,-2866.6082611083984,nan,1.0,nan,0.0,nan,1.0,nan,1.0,nan,0.0,nan,1.0,nan,2866.1303369090997,nan,0.0,nan,2866.1303369090997,nan,0.2605573033553727,nan,0.0,nan,0.1562096178531647,nan
oracle,1,5000.0,nan,1000.0,nan,0.16561780984327196,nan,0.22125048176426063,nan,0.0,nan,0.9164697527885437,nan,165.61780984327197,nan,-1.583388992190361,nan,-1583.388992190361,nan,0.8323636363636364,nan,0.0,nan,0.8323636363636364,nan,1.0,nan,0.0,nan,1.0,nan,1581.7328152081525,nan,0.0,nan,1581.7328152081525,nan,0.14379389229165024,nan,0.0,nan,0.9164697527885438,nan
