variant,training_seed,evaluation_seed,evaluation_steps,completed_episodes,mean_action,std_action,min_action,max_action,cumulative_action,mean_reward,cumulative_reward,lower_violation_fraction,upper_violation_fraction,outside_range_fraction,temporal_lower_fraction,temporal_upper_fraction,temporal_any_fraction,cumulative_lower_violation,cumulative_upper_violation,cumulative_total_violation,mean_violation_per_node_value,minimum_node_chlorine,maximum_node_chlorine,mean_completed_episode_reward,mean_completed_episode_action,mean_completed_episode_length
ekf,0,100,1000,0,0.07603887680731714,0.27159192038109875,0.0,2.533363103866577,76.03887680731714,-4.352868169857655,-4352.868169857655,0.65840625,0.00096875,0.659375,0.755,0.007,0.762,4338.728669407125,13.379084619158984,4352.107754026284,0.13600336731332138,0.0,2.533363103866577,nan,nan,nan
oracle,0,100,1000,0,0.05119715392775834,0.26960765507981344,0.0,2.556570529937744,51.197153927758336,-5.77261062576971,-5772.61062576971,0.71525,0.02321875,0.73846875,0.841,0.11,0.9,5530.70970603721,241.38886572821448,5772.098571765424,0.1803780803676695,0.0,2.5565705299377464,nan,nan,nan
