variant,training_seed,node_index,outside_range_fraction,lower_violation_fraction,upper_violation_fraction,mean_violation
oracle,4,12,0.068,0.06,0.008,0.008976161541558884
oracle,4,13,0.122,0.093,0.029,0.01714015908955439
oracle,4,14,0.069,0.058,0.011,0.00822366541413052
oracle,4,15,0.057,0.05,0.007,0.006990312924157375
oracle,4,16,0.138,0.099,0.039,0.022467623804213747
oracle,4,17,0.138,0.099,0.039,0.022555331544082634
oracle,4,18,0.124,0.09,0.034,0.01844922159906612
oracle,4,19,0.074,0.06,0.014,0.009980667790767344
oracle,4,20,0.09,0.07,0.02,0.01312807361361278
oracle,4,21,0.067,0.059,0.008,0.008185751875019078
oracle,4,22,0.137,0.102,0.035,0.02120411726569676
oracle,4,23,0.091,0.076,0.015,0.01194894360301481
oracle,4,24,0.121,0.096,0.025,0.017258875680848416
oracle,4,25,0.061,0.056,0.005,0.00709720666325017
oracle,4,26,0.13,0.098,0.032,0.019393567917147185
oracle,4,27,0.116,0.092,0.024,0.01729706386334586
oracle,4,28,0.079,0.069,0.01,0.009714739395597942
oracle,4,29,0.074,0.071,0.003,0.009724458828803557
oracle,4,30,0.107,0.084,0.023,0.016351259835286857
oracle,4,31,0.139,0.099,0.04,0.022732172430306716
