variant,training_seed,validation_seed,evaluation_seed,selected_training_timesteps,evaluation_steps,mean_action,std_action,min_action,max_action,cumulative_action,mean_reward,cumulative_reward,lower_violation_fraction,upper_violation_fraction,outside_range_fraction,temporal_lower_fraction,temporal_upper_fraction,temporal_any_fraction,cumulative_lower_violation,cumulative_upper_violation,cumulative_total_violation,mean_violation_per_node_value,minimum_node_chlorine,maximum_node_chlorine
ekf,0,100,200,80000,1000,1.1717199926115573,0.7096390019983498,0.0,3.449712038040161,1171.7199926115572,-1.0986725272503681,-1098.6725272503681,0.044875,0.1111875,0.1560625,0.279,0.505,0.629,193.82574605024567,893.1295814170664,1086.9553274673121,0.0339673539833535,0.0,3.4497120380401625
ekf,1,100,200,30000,1000,0.5821575361480936,0.5663538615088207,0.0,2.5416903495788574,582.1575361480936,-0.42214866703818554,-422.1486670381855,0.0885,0.0046875,0.0931875,0.515,0.036,0.534,391.1134712937139,25.213619871023482,416.3270911647374,0.013010221598898043,0.0,2.5416903495788583
ekf,2,100,200,70000,1000,0.2889771253652871,0.6054680676645461,0.0,2.984445333480835,288.97712536528707,-1.4587072392776608,-1458.7072392776608,0.04621875,0.2554375,0.30165625,0.295,0.59,0.686,233.51414256414057,1222.303325004834,1455.8174675689747,0.04549429586153046,0.0,2.984445333480835
oracle,0,100,200,50000,1000,0.027865539278835057,0.14985147600746976,0.0,1.3781763315200806,27.865539278835058,-0.259957634572871,-259.95763457287103,0.06575,0.0,0.06575,0.13,0.0,0.13,259.6789790760217,0.0,259.6789790760217,0.008114968096125677,0.0,1.3781763315200808
oracle,1,100,200,30000,1000,0.00888535669259727,0.11997207572710371,0.0,2.139591932296753,8.88535669259727,-0.03951786598283798,-39.517865982837975,0.004,0.00059375,0.00459375,0.027,0.005,0.027,37.05983886499016,2.3691735855843583,39.42901245057452,0.0012321566390804538,0.0,2.1395919322967534
oracle,2,100,200,80000,1000,0.6511934715416282,0.6982073703391373,0.0,3.2271487712860107,651.1934715416282,-0.6414021587010938,-641.4021587010939,0.06740625,0.04803125,0.1154375,0.357,0.22,0.498,289.7985997627733,345.0916248857908,634.8902246485641,0.019840319520267626,0.0,3.227148771286012
