variant,training_seed,validation_seed,evaluation_seed,selected_training_timesteps,evaluation_steps,mean_action,std_action,min_action,max_action,cumulative_action,mean_reward,cumulative_reward,lower_violation_fraction,upper_violation_fraction,outside_range_fraction,temporal_lower_fraction,temporal_upper_fraction,temporal_any_fraction,cumulative_lower_violation,cumulative_upper_violation,cumulative_total_violation,mean_violation_per_node_value,minimum_node_chlorine,maximum_node_chlorine
ekf_random,0,100,200,1000,1000,0.04779224386392161,0.039099414436350885,0.0,0.15620961785316467,47.79224386392161,-2.8666082611083983,-2866.6082611083984,1.0,0.0,1.0,1.0,0.0,1.0,2866.1303369090997,0.0,2866.1303369090997,0.2605573033553727,0.0,0.1562096178531647
ekf_centrality,0,100,200,4000,1000,0.11840203277068212,0.20297993708710535,0.0,0.8808763027191162,118.40203277068213,-1.5608417856693269,-1560.8417856693268,0.766090909090909,0.0,0.766090909090909,1.0,0.0,1.0,1559.657765856651,0.0,1559.657765856651,0.1417870696233319,0.0,0.8808763027191162
oracle,0,100,200,5000,1000,0.16561780984327196,0.22125048176426063,0.0,0.9164697527885437,165.61780984327197,-1.583388992190361,-1583.388992190361,0.8323636363636364,0.0,0.8323636363636364,1.0,0.0,1.0,1581.7328152081525,0.0,1581.7328152081525,0.14379389229165024,0.0,0.9164697527885438
