network,scope,node_sensors,link_sensors,mae,rmse,safe_accuracy,false_safe_given_unsafe,false_unsafe_given_safe
net1,all,3,3,0.3855440153395616,0.7470585843770442,0.7512107548430194,0.3345156889495225,0.2109854409818313
net1,nodes,3,3,0.4395329089082031,0.8551563456455137,0.7405720531973037,0.3403141361256545,0.2128606286780537
net1,links,3,3,0.33986110539686504,0.6415186641159649,0.7602127331586249,0.3275082856282013,0.2096323148627654
hanoi,all,10,10,0.7066484602442727,1.0374508953828494,0.779877937693569,0.13869054541225723,0.37319109867529404
hanoi,nodes,10,10,0.7447438521328433,1.1171903439915987,0.7742985971943888,0.13635272081071995,0.39307242465137204
hanoi,links,10,10,0.670793973760912,0.9563476987563996,0.7851290816927974,0.1408857220167764,0.35439700629358734
cydbp,all,75,75,0.47423482171974557,0.7496187295022766,0.8384268537074149,0.09480151228733459,0.355895928937552
cydbp,nodes,75,75,0.5538395442061766,0.9192350264494613,0.8255121353818748,0.09404993550361836,0.3892033848847388
cydbp,links,75,75,0.41381196007341836,0.5891280247464937,0.8482295917135476,0.09534972729882307,0.3275412360890302
