variant,n_training_seeds,outside_range_fraction_mean,outside_range_fraction_std,lower_violation_fraction_mean,lower_violation_fraction_std,upper_violation_fraction_mean,upper_violation_fraction_std,mean_violation_per_node_value_mean,mean_violation_per_node_value_std,cumulative_action_mean,cumulative_action_std,mean_reward_mean,mean_reward_std
ekf_random,5,0.6103539682539683,0.4861997849103553,0.6103539682539683,0.4861997849103553,0.0,0.0,0.13810435614697925,0.12454739825908487,187.06692152109463,360.7545616993842,-34.80416838886738,31.38386905143594
ekf_centrality,5,0.1236563492063492,0.10057187694836767,0.10607063492063491,0.09681153668200743,0.017585714285714284,0.039322852575746296,0.021499899615339796,0.013801303199321234,743.4944765209453,420.6506167960038,-5.4254096503019325,3.47614466586696
oracle,5,0.29536666666666667,0.3952650172569766,0.26364682539682543,0.41288321602553163,0.03171984126984127,0.0379157940560591,0.0708925721404891,0.09889536037267688,692.9960928746499,554.7555785737381,-17.871858124423024,24.91796566866222
