variant,n_training_seeds,selected_training_timesteps_mean,selected_training_timesteps_std,evaluation_steps_mean,evaluation_steps_std,mean_action_mean,mean_action_std,std_action_mean,std_action_std,min_action_mean,min_action_std,max_action_mean,max_action_std,cumulative_action_mean,cumulative_action_std,mean_reward_mean,mean_reward_std,cumulative_reward_mean,cumulative_reward_std,lower_violation_fraction_mean,lower_violation_fraction_std,upper_violation_fraction_mean,upper_violation_fraction_std,outside_range_fraction_mean,outside_range_fraction_std,temporal_lower_fraction_mean,temporal_lower_fraction_std,temporal_upper_fraction_mean,temporal_upper_fraction_std,temporal_any_fraction_mean,temporal_any_fraction_std,cumulative_lower_violation_mean,cumulative_lower_violation_std,cumulative_upper_violation_mean,cumulative_upper_violation_std,cumulative_total_violation_mean,cumulative_total_violation_std,mean_violation_per_node_value_mean,mean_violation_per_node_value_std,minimum_node_chlorine_mean,minimum_node_chlorine_std,maximum_node_chlorine_mean,maximum_node_chlorine_std
ekf_centrality,1,8000.0,nan,1000.0,nan,0.17632424805592745,nan,0.3569129086296678,nan,0.0,nan,1.4990876913070679,nan,176.32424805592746,nan,-1.0270067918896675,nan,-1027.0067918896675,nan,0.5752727272727273,nan,0.0,nan,0.5752727272727273,nan,1.0,nan,0.0,nan,1.0,nan,1025.2435502253913,nan,0.0,nan,1025.2435502253913,nan,0.09320395911139921,nan,0.0,nan,1.4990876913070679,nan
ekf_random,1,14000.0,nan,1000.0,nan,1.116814593172632,nan,0.5245381386497296,nan,0.0,nan,1.994157314300537,nan,1116.8145931726322,nan,-0.7492890723645688,nan,-749.2890723645687,nan,0.42727272727272725,nan,0.0,nan,0.42727272727272725,nan,1.0,nan,0.0,nan,1.0,nan,738.1209259359572,nan,0.0,nan,738.1209259359572,nan,0.06710190235781428,nan,0.0,nan,1.9688177108764648,nan
oracle,1,20000.0,nan,1000.0,nan,0.8947716531790793,nan,0.7210125232727777,nan,0.0,nan,2.254956007003784,nan,894.7716531790793,nan,-0.7025678168833256,nan,-702.5678168833256,nan,0.3729090909090909,nan,0.0036363636363636364,nan,0.37654545454545457,nan,1.0,nan,0.02,nan,1.0,nan,689.795995575267,nan,3.8241047859191903,nan,693.6201003611862,nan,0.06305637276010784,nan,0.0,nan,2.23541522026062,nan
